[60.575, 3365.262, 6572.992]
[60.575, 3365.262, 6572.992]
[60.575, 3365.262, 6572.992]
[60.575, 3365.262, 6572.992]
[60.575, 3365.262, 6572.992]
[60.575, 3365.262, 6572.992]
[60.575, 3365.262, 6572.992]
[60.575, 3365.262, 6572.992]
[60.575, 3365.262, 6572.992]
[60.575, 3362.06, 6572.992]
[60.575, 3362.06, 6572.992]
[60.575, 3362.06, 6572.992]
[60.575, 3362.06, 6572.992]
[60.575, 3362.06, 6572.992]
[60.575, 3362.06, 6572.992]
[60.575, 3362.06, 6572.992]
[60.575, 3362.06, 6572.992]
[60.575, 3362.06, 6572.992]
[60.575, 3362.06, 6572.992]
[60.575, 3362.06, 6572.992]
[60.575, 3362.06, 6572.992]
[60.575, 3362.06, 6572.992]
[60.575, 3362.06, 6572.992]
[60.575, 3362.06, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6572.992]
[60.575, 3360.958, 6571.708]
[60.575, 3360.958, 6571.708]
[60.575, 3360.958, 6571.708]
[60.575, 3360.958, 6571.708]
[60.575, 3360.958, 6571.708]
[60.575, 3360.958, 6571.708]
[60.575, 3360.958, 6571.708]
[60.575, 3360.958, 6571.708]
[60.575, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[60.496, 3360.958, 6571.708]
[17.477, 3218.491, 6472.382]
[14.564, 3218.216, 6472.226]
[14.564, 3218.216, 6472.178]
[14.564, 3218.203, 6472.178]
[14.564, 3218.203, 6472.178]
[14.564, 3218.203, 6472.178]
[14.564, 3218.203, 6472.178]
[14.564, 3218.203, 6472.178]
[14.564, 3218.203, 6472.178]
[14.564, 3218.203, 6472.178]
[14.564, 3218.203, 6472.178]
[14.564, 3218.203, 6472.178]
[14.564, 3218.203, 6472.178]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3218.203, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[14.564, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6459.333]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6457.118]
[1.274, 3211.743, 6450.885]
[1.274, 3211.743, 6450.885]
[1.274, 3211.743, 6450.885]
[1.274, 3211.743, 6450.885]
[1.274, 3211.743, 6450.885]
[1.274, 3211.743, 6450.885]
[1.274, 3211.743, 6450.885]
[1.274, 3211.743, 6450.885]
[0.0, 3068.273, 6322.481]
[0.0, 3067.687, 6322.088]
[0.0, 3067.687, 6322.088]
[0.0, 3067.687, 6322.088]
[0.0, 3067.687, 6322.088]
[0.0, 3067.687, 6322.088]
[0.0, 3067.687, 6322.088]
[0.0, 3067.687, 6322.088]
[0.0, 3067.687, 6322.088]
[0.0, 3067.687, 6322.088]
[0.0, 3067.687, 6322.088]
[0.0, 3067.687, 6322.088]
[0.0, 3067.687, 6322.088]
[0.0, 3067.687, 6322.088]
[0.0, 3067.687, 6322.088]
[0.0, 3067.687, 6322.088]
[0.0, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[26.81, 3067.687, 6322.088]
[17.902, 3067.687, 6322.088]
[17.902, 3067.687, 6322.088]
[17.902, 3067.687, 6322.088]
[17.902, 3067.687, 6322.088]
[17.902, 3067.687, 6322.088]
[17.902, 3067.687, 6322.088]
[17.902, 3067.687, 6322.088]
[17.902, 3067.687, 6322.088]
[17.902, 3067.687, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
[17.902, 3065.132, 6322.088]
